season,rank,team,points,matches,wins,draws,losses,goals_for,goals_against,goal_difference
2011-2012,5,Marítimo,49,30,13,10,7,42,30,12
2011-2012,6,Nacional,44,30,12,8,10,39,35,4
2011-2012,7,Vitória Guimarães,43,30,11,10,9,37,34,3
2011-2012,8,Gil Vicente,41,30,10,11,9,33,32,1
2011-2012,9,Olhanense,38,30,9,11,10,30,34,-4
2011-2012,10,Académica,37,30,9,10,11,29,35,-6
2011-2012,11,Rio Ave,35,30,8,11,11,27,36,-9
2011-2012,12,Vitória Setúbal,34,30,8,10,12,26,38,-12
2011-2012,13,Paços de Ferreira,32,30,7,11,12,25,39,-14
2011-2012,14,Beira-Mar,30,30,6,12,12,24,41,-17
2011-2012,15,Feirense,27,30,5,12,13,22,43,-21
2011-2012,16,Leiria,21,30,3,12,15,18,47,-29
2012-2013,1,Porto,78,30,24,6,0,70,14,56
2012-2013,2,Benfica,77,30,24,5,1,77,20,57
2012-2013,3,Paços de Ferreira,54,30,14,12,4,42,29,13
2012-2013,4,Braga,52,30,16,4,10,60,44,16
2012-2013,5,Estoril,45,30,13,6,11,47,37,10
2012-2013,6,Rio Ave,42,30,12,6,12,35,42,-7
2012-2013,7,Sporting CP,42,30,11,9,10,36,36,0
2012-2013,8,Nacional,40,30,11,7,12,45,51,-6
2012-2013,9,Vitória Guimarães,40,30,11,7,12,36,47,-11
2012-2013,10,Marítimo,38,30,9,11,10,34,45,-11
2012-2013,11,Académica,28,30,6,10,14,33,45,-12
2012-2013,12,Vitória Setúbal,26,30,7,5,18,30,55,-25
2012-2013,13,Gil Vicente,25,30,6,7,17,31,54,-23
2012-2013,14,Olhanense,25,30,5,10,15,26,42,-16
2012-2013,15,Moreirense,24,30,5,9,16,30,51,-21
2012-2013,16,Beira-Mar,23,30,5,8,17,35,55,-20
2013-2014,1,Benfica,74,30,23,5,2,65,25,40
2013-2014,2,Sporting CP,67,30,20,7,3,56,22,34
2013-2014,3,Porto,61,30,19,4,7,51,19,32
2013-2014,4,Estoril,54,30,15,9,6,46,30,16
2013-2014,5,Nacional,45,30,11,12,7,40,30,10
2013-2014,6,Marítimo,41,30,11,8,11,36,40,-4
2013-2014,7,Vitória Setúbal,39,30,10,9,11,30,30,0
2013-2014,8,Académica,37,30,9,10,11,28,38,-10
2013-2014,9,Braga,37,30,10,7,13,39,37,2
2013-2014,10,Vitória Guimarães,35,30,10,5,15,29,34,-5
2013-2014,11,Rio Ave,32,30,8,8,14,24,38,-14
2013-2014,12,Arouca,31,30,8,7,15,24,38,-14
2013-2014,13,Gil Vicente,31,30,8,7,15,24,38,-14
2013-2014,14,Belenenses,28,30,6,10,14,22,36,-14
2013-2014,15,Paços de Ferreira,24,30,6,6,18,15,46,-31
2013-2014,16,Olhanense,24,30,6,6,18,17,45,-28
2014-2015,1,Benfica,82,34,25,7,2,86,20,66
2014-2015,2,Porto,77,34,24,5,5,73,24,49
2014-2015,3,Sporting CP,73,34,22,7,5,67,31,36
2014-2015,4,Braga,61,34,17,10,7,52,32,20
2014-2015,5,Vitória Guimarães,50,34,14,8,12,40,41,-1
2014-2015,6,Rio Ave,48,34,13,9,12,38,36,2
2014-2015,7,Belenenses,47,34,13,8,13,37,42,-5
2014-2015,8,Paços de Ferreira,46,34,12,10,12,39,39,0
2014-2015,9,Moreirense,44,34,11,11,12,44,49,-5
2014-2015,10,Marítimo,44,34,11,11,12,29,33,-4
2014-2015,11,Nacional,43,34,10,13,11,38,43,-5
2014-2015,12,Arouca,42,34,10,12,12,36,45,-9
2014-2015,13,Estoril,41,34,10,11,13,36,45,-9
2014-2015,14,Boavista,40,34,10,10,14,37,48,-11
2014-2015,15,Académica,37,34,7,16,11,31,40,-9
2014-2015,16,Gil Vicente,34,34,8,10,16,27,47,-20
2014-2015,17,Vitória Setúbal,30,34,6,12,16,28,47,-19
2014-2015,18,Penafiel,22,34,4,10,20,24,50,-26
2015-2016,1,Benfica,88,34,28,4,2,85,19,66
2015-2016,2,Sporting CP,86,34,27,5,2,75,21,54
2015-2016,3,Porto,72,34,21,9,4,63,28,35
2015-2016,4,Braga,60,34,18,6,10,50,36,14
2015-2016,5,Arouca,53,34,15,8,11,43,41,2
2015-2016,6,Rio Ave,47,34,11,14,9,37,36,1
2015-2016,7,Vitória Guimarães,46,34,12,10,12,39,39,0
2015-2016,8,Paços de Ferreira,44,34,12,8,14,41,49,-8
2015-2016,9,Nacional,43,34,10,13,11,39,42,-3
2015-2016,10,Estoril,43,34,11,10,13,42,47,-5
2015-2016,11,Belenenses,43,34,10,13,11,33,36,-3
2015-2016,12,Marítimo,42,34,10,12,12,38,42,-4
2015-2016,13,Boavista,41,34,9,14,11,35,45,-10
2015-2016,14,Moreirense,40,34,10,10,14,37,43,-6
2015-2016,15,Vitória Setúbal,37,34,8,13,13,30,41,-11
2015-2016,16,Tondela,35,34,7,14,13,34,45,-11
2015-2016,17,União Madeira,28,34,5,13,16,25,45,-20
2015-2016,18,Académica,25,34,4,13,17,22,52,-30
2016-2017,1,Benfica,82,34,25,7,2,72,18,54
2016-2017,2,Porto,76,34,22,10,2,72,22,50
2016-2017,3,Sporting CP,70,34,21,7,6,68,36,32
2016-2017,4,Braga,61,34,17,10,7,51,34,17
2016-2017,5,Vitória Guimarães,57,34,16,9,9,49,36,13
2016-2017,6,Marítimo,54,34,15,9,10,43,38,5
2016-2017,7,Rio Ave,51,34,14,9,11,41,37,4
2016-2017,8,Chaves,48,34,13,9,12,47,48,-1
2016-2017,9,Feirense,47,34,12,11,11,38,38,0
2016-2017,10,Estoril,43,34,10,13,11,39,44,-5
2016-2017,11,Boavista,42,34,10,12,12,40,44,-4
2016-2017,12,Vitória Setúbal,41,34,10,11,13,35,41,-6
2016-2017,13,Paços de Ferreira,40,34,10,10,14,37,44,-7
2016-2017,14,Arouca,38,34,9,11,14,31,45,-14
2016-2017,15,Moreirense,38,34,9,11,14,35,49,-14
2016-2017,16,Belenenses,37,34,8,13,13,33,42,-9
2016-2017,17,Tondela,34,34,7,13,14,29,40,-11
2016-2017,18,Nacional,28,34,5,13,16,29,53,-24
2017-2018,1,Porto,88,34,28,4,2,82,18,64
2017-2018,2,Benfica,81,34,25,6,3,80,26,54
2017-2018,3,Sporting CP,77,34,24,5,5,73,32,41
2017-2018,4,Braga,68,34,20,8,6,54,28,26
2017-2018,5,Rio Ave,51,34,14,9,11,39,39,0
2017-2018,6,Vitória Guimarães,49,34,14,7,13,36,37,-1
2017-2018,7,Marítimo,48,34,12,12,10,38,37,1
2017-2018,8,Belenenses,47,34,13,8,13,38,40,-2
2017-2018,9,Chaves,46,34,12,10,12,34,36,-2
2017-2018,10,Boavista,42,34,11,9,14,37,45,-8
2017-2018,11,Vitória Setúbal,41,34,10,11,13,31,39,-8
2017-2018,12,Paços de Ferreira,41,34,11,8,15,31,42,-11
2017-2018,13,Moreirense,40,34,9,13,12,34,41,-7
2017-2018,14,Tondela,40,34,11,7,16,34,42,-8
2017-2018,15,Estoril,37,34,9,10,15,34,52,-18
2017-2018,16,Aves,37,34,9,10,15,38,52,-14
2017-2018,17,Feirense,32,34,7,11,16,28,40,-12
2017-2018,18,Portimonense,31,34,5,16,13,28,41,-13
2018-2019,1,Benfica,87,34,28,3,3,103,32,71
2018-2019,2,Porto,85,34,27,4,3,75,17,58
2018-2019,3,Sporting CP,74,34,22,8,4,67,30,37
2018-2019,4,Braga,66,34,19,9,6,53,31,22
2018-2019,5,Moreirense,52,34,15,7,12,42,46,-4
2018-2019,6,Vitória Guimarães,48,34,13,9,12,49,44,5
2018-2019,7,Belenenses,47,34,12,11,11,35,32,3
2018-2019,8,Santa Clara,46,34,13,7,14,37,44,-7
2018-2019,9,Rio Ave,45,34,11,12,11,42,39,3
2018-2019,10,Portimonense,43,34,11,10,13,39,47,-8
2018-2019,11,Vitória Setúbal,42,34,11,9,14,37,43,-6
2018-2019,12,Boavista,42,34,10,12,12,34,40,-6
2018-2019,13,Marítimo,42,34,11,9,14,37,45,-8
2018-2019,14,Aves,40,34,11,7,16,35,49,-14
2018-2019,15,Chaves,38,34,10,8,16,43,52,-9
2018-2019,16,Tondela,35,34,8,11,15,33,43,-10
2018-2019,17,Nacional,31,34,7,10,17,33,53,-20
2018-2019,18,Feirense,24,34,5,9,20,28,55,-27
2019-2020,1,Porto,82,34,26,4,4,74,24,50
2019-2020,2,Benfica,81,34,25,6,3,77,26,51
2019-2020,3,Sporting CP,66,34,18,12,4,55,27,28
2019-2020,4,Braga,63,34,17,12,5,61,31,30
2019-2020,5,Rio Ave,48,34,13,9,12,41,39,2
2019-2020,6,Famalicão,46,34,11,13,10,49,49,0
2019-2020,7,Vitória Guimarães,45,34,12,9,13,41,38,3
2019-2020,8,Moreirense,43,34,11,10,13,38,45,-7
2019-2020,9,Santa Clara,41,34,11,8,15,36,44,-8
2019-2020,10,Gil Vicente,40,34,9,13,12,28,33,-5
2019-2020,11,Vitória Setúbal,40,34,10,10,14,36,46,-10
2019-2020,12,Boavista,39,34,9,12,13,28,37,-9
2019-2020,13,Marítimo,38,34,10,8,16,35,49,-14
2019-2020,14,Paços de Ferreira,37,34,10,7,17,40,53,-13
2019-2020,15,Belenenses,37,34,7,16,11,28,39,-11
2019-2020,16,Tondela,36,34,9,9,16,30,50,-20
2019-2020,17,Portimonense,33,34,8,9,17,38,52,-14
2019-2020,18,Aves,16,34,3,7,24,24,68,-44
2020-2021,1,Sporting CP,85,34,25,10,0,77,20,57
2020-2021,2,Porto,80,34,25,5,4,76,26,50
2020-2021,3,Benfica,76,34,23,7,4,73,30,43
2020-2021,4,Braga,63,34,18,9,7,56,35,21
2020-2021,5,Paços de Ferreira,52,34,14,10,10,50,42,8
2020-2021,6,Santa Clara,52,34,15,7,12,39,38,1
2020-2021,7,Vitória Guimarães,49,34,13,10,11,48,48,0
2020-2021,8,Gil Vicente,47,34,13,8,13,44,50,-6
2020-2021,9,Moreirense,44,34,12,8,14,42,46,-4
2020-2021,10,Portimonense,42,34,10,12,12,40,48,-8
2020-2021,11,Tondela,41,34,10,11,13,36,48,-12
2020-2021,12,Famalicão,39,34,9,12,13,38,50,-12
2020-2021,13,Marítimo,37,34,9,10,15,33,49,-16
2020-2021,14,Rio Ave,37,34,9,10,15,37,52,-15
2020-2021,15,Belenenses,36,34,9,9,16,25,45,-20
2020-2021,16,Boavista,35,34,8,11,15,38,48,-10
2020-2021,17,Farense,32,34,7,11,16,28,45,-17
2020-2021,18,Nacional,31,34,7,10,17,34,53,-19
2021-2022,1,Porto,91,34,29,4,1,86,22,64
2021-2022,2,Sporting CP,85,34,26,7,1,73,22,51
2021-2022,3,Benfica,74,34,21,11,2,75,31,44
2021-2022,4,Braga,64,34,18,10,6,55,32,23
2021-2022,5,Gil Vicente,54,34,15,9,10,48,43,5
2021-2022,6,Vitória Guimarães,49,34,14,7,13,43,41,2
2021-2022,7,Estoril,48,34,12,12,10,42,44,-2
2021-2022,8,Paços de Ferreira,47,34,12,11,11,45,44,1
2021-2022,9,Santa Clara,46,34,13,7,14,41,49,-8
2021-2022,10,Portimonense,44,34,11,11,12,46,54,-8
2021-2022,11,Famalicão,43,34,10,13,11,41,42,-1
2021-2022,12,Casa Pia,42,34,10,12,12,38,49,-11
2021-2022,13,Boavista,40,34,8,16,10,38,44,-6
2021-2022,14,Marítimo,38,34,10,8,16,29,52,-23
2021-2022,15,Vizela,37,34,9,10,15,35,52,-17
2021-2022,16,Arouca,34,34,7,13,14,32,46,-14
2021-2022,17,Moreirense,33,34,8,9,17,35,49,-14
2021-2022,18,Belenenses,17,34,3,8,23,21,63,-42
2022-2023,1,Benfica,84,34,26,6,2,82,26,56
2022-2023,2,Porto,79,34,24,7,3,75,22,53
2022-2023,3,Sporting CP,75,34,22,9,3,66,26,40
2022-2023,4,Braga,71,34,21,8,5,59,24,35
2022-2023,5,Casa Pia,52,34,14,10,10,42,36,6
2022-2023,6,Vitória Guimarães,50,34,14,8,12,48,47,1
2022-2023,7,Arouca,47,34,12,11,11,47,47,0
2022-2023,8,Famalicão,45,34,11,12,11,42,42,0
2022-2023,9,Rio Ave,43,34,10,13,11,34,37,-3
2022-2023,10,Estoril,42,34,10,12,12,32,35,-3
2022-2023,11,Gil Vicente,41,34,11,8,15,36,43,-7
2022-2023,12,Vizela,39,34,9,12,13,39,48,-9
2022-2023,13,Boavista,38,34,8,14,12,28,43,-15
2022-2023,14,Chaves,37,34,10,7,17,38,52,-14
2022-2023,15,Portimonense,35,34,8,11,15,37,50,-13
2022-2023,16,Marítimo,32,34,7,11,16,31,49,-18
2022-2023,17,Paços de Ferreira,27,34,5,12,17,30,50,-20
2022-2023,18,Santa Clara,26,34,6,8,20,35,73,-38
2023-2024,1,Sporting CP,90,34,29,3,2,84,24,60
2023-2024,2,Benfica,80,34,25,5,4,75,26,49
2023-2024,3,Porto,76,34,22,10,2,80,28,52
2023-2024,4,Braga,65,34,18,11,5,60,33,27
2023-2024,5,Vitória Guimarães,56,34,15,11,8,55,44,11
2023-2024,6,Moreirense,50,34,13,11,10,46,46,0
2023-2024,7,Famalicão,49,34,13,10,11,43,42,1
2023-2024,8,Casa Pia,45,34,11,12,11,37,41,-4
2023-2024,9,Arouca,42,34,10,12,12,40,49,-9
2023-2024,10,Rio Ave,42,34,10,12,12,39,45,-6
2023-2024,11,Estoril,41,34,10,11,13,40,52,-12
2023-2024,12,Gil Vicente,40,34,9,13,12,40,46,-6
2023-2024,13,Boavista,38,34,8,14,12,33,42,-9
2023-2024,14,Farense,38,34,9,11,14,38,49,-11
2023-2024,15,Estrela,35,34,8,11,15,34,49,-15
2023-2024,16,Portimonense,34,34,8,10,16,34,48,-14
2023-2024,17,Vizela,30,34,6,12,16,32,51,-19
2023-2024,18,Chaves,19,34,4,7,23,23,68,-45
